GENE	Sample1	Sample2
CXorf23	6.79868	6.53725
PBDC1	63.2302	0
HYPM	0	0
CXorf36	0	0
CXorf38	41.9679	0
CXorf40A	86.2483	15.2959
CXorf40B	36.5795	0
PIH1D3	0	0
NKAPP1	0	6.75252
CT55	0	0
CXorf49B	0	0
CXorf56	0	0
CXorf57	0	0
CXorf58	0	0
CFAP47	0	0
CT83	0	0
PRR32	0	0
CXorf65	0	0
CXorf66	0	0
CYB561D1	19.62033738751	6.72789778
CYB561D2	0	27.8487
CYB561	8.25511	0
CYB5A	0	42.2202
CYB5B	5.4194453232	34.45710780791
CYB5D1	6.14686	0
CYB5D2	19.144112	12.748
CYB5R1	29.5423	72.4823
CYB5R2	0	0
CYB5R3	61.121	101.8362
CYB5R4	42.1427	43.7074
CYB5RL	0	0
CYB561A3	36.7359	82.432275703
CYBA	2053.6107	1341.68933
CYBB	408.519	260.6547151019
CYBRD1	22.1056	11.7071
CYC1	62.3978	137.923
CYCSP52	0	0
CYCS	22.4097	5.86236
CYFIP1	41.3206	4.98788
CYFIP2	81.070695319	200.92620518844
CYGB	0	0
CYHR1	43.5286	19.7381
CYLC1	0	0
CYLC2	0	0
CYLD	110.8008229953	69.306682046
CYMP	0	0
CYP11A1	0	0
CYP11B1	0	0
CYP11B2	0	0
CYP17A1	0	0
CYP19A1	0	0
CYP1A1	0	0
CYP1A2	0	0
CYP1B1	8.83451	31.3392
CYP20A1	5.9756	4.79505391363
CYP21A2	0	0
CYP24A1	0	0
CYP26A1	0	0
CYP26B1	0	0
CYP26C1	0	0
CYP27A1	30.9149	57.0552
CYP27B1	0	0
CYP27C1	4.9869	0
CYP2A13	0	0
CYP2A6	0	0
CYP2A7	0	0
CYP2B6	0	0
CYP2B7P	0	0
CYP2C18	0	0
CYP2C19	0	0
CYP2C8	0	0
CYP2C9	0	0
CYP2D6	0	0
CYP2E1	0	0
CYP2F1	0	0
CYP2J2	12.9317	0
CYP2R1	15.0424	0
CYP2S1	17.878	24.8877
CYP2U1	0	0
CYP2W1	0	0
CYP39A1	0	0
CYP3A43	0	0
CYP3A4	0	0
CYP3A5	0	0
CYP3A7	0	0
CYP46A1	0	0
CYP4A22	0	0
CYP4B1	0	0
CYP4F11	0	0
CYP4F12	0	0
CYP4F22	8.98257	12.5022
CYP4F2	0	0
CYP4F3	0	0
CYP4F8	0	0
CYP4V2	4.85341	13.7548
CYP4X1	0	0
CYP4Z1	0	0
CYP4Z2P	0	0
CYP51A1	0	0
CYP7A1	0	0
CYP7B1	0	0
CYP8B1	0	0
CYR61	0	0
CYS1	0	0
CYSLTR1	34.5488	11.6183
CYSLTR2	0	0
CYTH1	179.23311	131.5518
CYTH2	21.19791	28.06867
CYTH3	5.3799	15.2051
CYTH4	172.500503	61.974
CYTIP	85.7143	96.2333
CYTL1	0	0
SPECC1L	6.90098201157	12.073700501351
SPECC1	9.294444	15.0206
CYYR1	0	0
TXLNGY	45.2229	0
D2HGDH	38.8719	0
DAAM1	14.3775	9.78454
DAAM2	0	0
DAB1	0	0
DAB2IP	0	0
DAB2	5.58784	7.88942
DACH1	4.3478	0
DACH2	0	0
DACT1	0	4.83558
DACT2	0	0
DACT3	9.2982	0
DAD1	160.44	98.7819
DAG1	12.3469	8.77104
DAGLA	15.7841	2.80523
DAGLB	45.096	22.473915
TKFC	16.2067	0
DALRD3	63.72297296	10.7731
DAND5	14.2155	0
DAOA	0	0
DAO	0	0
DAP3	101.194402704	124.986
DAPK1	36.277	6.72979
DAPK2	0	0
DAPK3	22.5768	23.342
DAPL1	0	0
DAPP1	23.849200135387	11.0855
DAP	51.38120366077	113.806000120562
ACKR1	0	0
DARS2	14.5451	0
DARS	31.3235	21.6662
DAXX	40.0446	35.86875
DAZ4	0	0
DAZ2	0	0
DAZ3	0	0
DAZAP1	97.8801	135.1671
DAZAP2	570.2176	522.7811
DAZL	0	0
BRINP1	0	0
DBF4B	9.86382	0
DBF4	0	0
DBH	8.46034	0
DBI	94.4331	141.627
DBN1	13.1469	0
DBNDD1	0	0
DBNDD2	0	0
DBNL	161.6839	221.95988
DBP	14.781	20.0851
DBR1	8.83546	0
DBT	2.08564109788	1.67048
DBX1	0	0
DBX2	0	0
DCAF10	6.77763	4.6916
DCAF11	38.047972240413	48.7952
DCAF12L1	0	0
DCAF12L2	0	0
DCAF12	31.3707	30.9143
DCAF13	8.87297	28.808
DCAF15	81.7754	36.2412
DCAF16	15.0797	16.9482
DCAF17	9.60566	11.41918
DCAF4L1	0	0
DCAF4L2	0	0
DCAF4	11.6696	0
DCAF5	52.8886	26.95957
DCAF6	14.33770157556	18.46221
DCAF7	53.97296	48.26083
DCAF8L1	0	0
DCAF8L2	0	0
DCAF8	90.49976	25.0327
DCAKD	12.1704	0
DCBLD1	9.27641	0
DCBLD2	0	0
DCC	0	0
DCDC1	0	0
DCDC2B	0	0
DCDC2	0	0
DCD	0	0
DCHS1	0	4.48416
DCHS2	0	0
ECI1	50.2446	34.5577
DCK	72.0068	56.37
DCLK1	0	0
DCLK2	0	0
DCLK3	0	0
DCLRE1A	0	0
DCLRE1B	0	5.0927
DCLRE1C	7.13188	21.1586
DCN	0	0
DCP1A	7.775550674191	16.4844
DCP1B	24.2147	0
DCP2	10.7753	22.01646
DCPS	33.2005	11.1954
DCST1	14.3402	0
DCST2	9.73789	0
DCTD	35.4387745	40.622627426
DCTN1	65.1766922	31.3796
DCTN2	75.36560210651	67.2814266
DCTN3	32.4584	102.836
DCTN4	29.632026	16.6751112
DCTN5	27.8452	19.5432
DCTN6	0	32.6195
DCTPP1	0	14.9667
DCT	10.2858	0
DCUN1D1	7.66575	16.0928
DCUN1D2	16.1528	5.36937
DCUN1D3	0	0
DCUN1D4	11.0253	3.89286
DCUN1D5	0	26.6871
DCXR	129.644	82.1632
DCX	0	0
DDA1	28.1454	11.92824
DDAH1	0	0
DDAH2	56.0235	29.3357
DDB1	116.5195	156.9667
DDB2	71.0325	25.9721
DDC	0	0
DDHD1	13.8950825	2.49334593
DDHD2	20.37771	21.434252
DDI1	0	0
DDI2	13.7092	12.3066
DDIT3	0	0
DDIT4L	0	0
DDIT4	110.151	84.544
DDN	0	0
DDOST	156.3458047133	207.94609
DDO	0	0
DDR1	73.5924	0
DDR2	0	0
DDRGK1	40.305646	93.791914
DDTL	0	0
DDT	140.154	84.2304
DDX10	7.26779	10.1886
DDX11L1	0	0
DDX11	68.2649	11.5248
DDX17	609.9312	40.49342
DDX18	36.6672	60.2645
DDX19A	0	20.966504944
DDX19B	42.4157	45.1001
DDX1	35.4577	24.0911
DDX20	0	0
DDX21	49.6756	54.5665
DDX23	35.4423	24.8619
DDX24	95.7792	95.6137
DDX25	0	0
DDX26B	29.3948	0
DDX27	95.5114	36.3007
DDX28	8.37703	17.5335
DDX31	0	0
DDX39A	166.9468	95.9428
DDX3X	206.4369	138.76620142
DDX3Y	57.12293593526	0
DDX41	102.2195611024	62.306010127713
DDX42	42.47000370531	57.8578000709204
DDX43	0	0
DDX46	42.44786	53.2821
DDX47	29.1337	9.90574
DDX49	26.4195	18.8207
DDX4	0	0
DDX50	27.7478	25.718
DDX51	15.5693	0
DDX52	12.91662	4.30345
DDX53	0	0
DDX54	36.6253	40.6733
DDX55	35.5822	0
DDX56	19.9411	9.187593
DDX58	44.6707	7.26471
DDX59	22.5768	23.342
DDX5	524.9855	306.23513
DDX60L	49.2915	11.47106
DDX60	16.26844	13.2786
DDX6	40.49481014	44.540723925
DEAF1	41.3067	46.9689
DEC1	0	0
DECR1	60.027	106.7879
DECR2	0	0
DEDD2	96.48782003	130.4192
DEDD	11.9598	24.6617
DEF6	226.571548	81.74358
DEF8	109.1495	63.41408929792
DEFA1	641.315	146.179
DEFA4	0	0
DEFA5	0	0
DEFA6	0	0
DEFB103A	0	0
DEFB104A	0	0
DEFB105A	0	0
DEFB106A	0	0
DEFB107A	0	0
DEFB108B	0	0
DEFB109P1B	0	0
DEFB110	0	0
DEFB112	0	0
DEFB113	0	0
DEFB114	0	0
DEFB115	0	0
DEFB116	0	0
DEFB118	0	0
DEFB119	0	0
DEFB121	0	0
DEFB122	0	0
DEFB123	0	0
DEFB124	0	0
DEFB125	0	0
DEFB126	0	0
DEFB127	0	0
DEFB128	0	0
DEFB129	0	0
DEFB130	0	0
DEFB131	0	0
DEFB132	0	0
DEFB134	0	0
DEFB135	0	0
DEFB136	0	0
DEFB1	0	0
DEFB4A	0	0
DEGS1	33.4899	49.4674
DEGS2	0	0
DEK	89.2735	62.3529
EXO5	0	0
DENND1A	66.996720283121	23.5367
DENND1B	11.1294	19.62245
DENND1C	155.7433	46.73091
DENND2A	0	0
DENND2C	0	0
DENND2D	151.624	24.08
DENND3	74.02299	20.7656
DENND4A	15.67751960319	2.23678
DENND4B	143.671	34.0389
DENND4C	30.07426	10.41954
DENND5A	71.265067	58.6276
DENND5B	2.39241335	15.69206
DENR	0	127.74268
DEPDC1B	0	0
DEPDC1	0	0
DEPDC4	0	0
DEPDC5	23.53779186	10.0552
DEPTOR	0	7.02231
DEPDC7	0	0
DERA	28.0441	0
DERL1	42.07701	31.4474
DERL2	45.2122	59.5327
DERL3	23.9785	0
DES	0	0
DET1	0	0
DEXI	16.3427	22.0664
DFFA	31.402	24.3583493444
DFFB	55.34514009953	16.114439087486
DFNA5	0	0
DFNB31	0	0
DFNB59	0	0
DGAT1	49.7137	32.1853
DGAT2L6	0	0
DGAT2	0	7.03466
DGCR11	0	0
DGCR14	3.91945	8.99465
DGCR2	25.492	33.4561
DGCR5	0	0
DGCR6L	48.6424	95.4259
DGCR6	24.7845	0
DGCR8	32.6487	13.7738
DGCR9	9.75076	0
DGKA	252.535560029	44.31375104
DGKB	0	0
DGKD	82.7431	38.3726
DGKE	11.787	0
DGKG	8.07497778291	8.45274510453
DGKH	7.52493	0
DGKI	0	0
DGKK	5.89617	0
DGKQ	49.7007496	7.035691467
DGKZ	271.2252	148.6787
DGUOK	22.1978	89.396
DHCR24	13.1292	9.23024
DHCR7	0	6.173880455
DHDDS	14.591929	5.1137377
DHDH	0	0
HOGA1	0	8.23749
DHFRL1	6.13323	0
DHFR	19.12770443441	4.447030047806
DHH	0	0
DHODH	0	0
DHPS	75.073059	48.8795
DHRS11	0	0
DHRS12	0	27.946
DHRS13	28.9053	0
DHRS1	41.99731	22.516581
DHRS2	0	0
DHRS3	39.9875	78.9193
DHRS4	139.531	40.3901
DHRS4L2	244.794	36.6297
DHRS7B	18.0056	0
DHRS7C	0	0
DHRS7	89.1572	164.5144
DHRS9	0	0
DHRSX	9.13466	12.7058
DHTKD1	4.94401	18.65
DHX15	76.8495	21.5386
DHX16	111.4343	25.4869
DHX29	5.112550327155	3.61648
DHX30	33.6796161	40.64081347
DHX32	9.87262	0
DHX33	6.82806	0
DHX34	20.9738	8.2673
DHX35	14.4501	10.1306
DHX36	26.196332278	9.0912117016
DHX37	15.0729	8.43294
DHX38	84.1449	59.9292
DHX40	56.1977	47.3817
DHX57	5.93251	12.9382
DHX58	40.1172	31.1459
DHX8	50.2812	19.2674
DHX9	70.586	52.8161
DIABLO	13.088321941	31.47480610702
DIAPH1	203.50978	141.206825
DIAPH2	6.0843	17.14455
DIAPH3	0	5.95771
DICER1	47.314223	11.25
DIDO1	93.93084	15.17382899
DIMT1	0	42.4632
DIO1	0	0
DIO2	0	0
DIO3	0	0
DIP2A	153.3826	11.8889
DIP2B	20.02229	7.38463
DIP2C	2.85466	0
DIRAS1	0	0
DIRAS2	0	0
DIRAS3	0	0
DIRC1	0	0
DIRC2	7.14801	0
DIS3L2	27.4349	18.9358
DIS3L	39.1207	18.3388
DIS3	11.945916307	4.30924
DISC1	13.464085	2.3041256541
DISP1	4.81119	0
DISP2	0	0
DIXDC1	0	0
DKC1	36.628143	31.840079
LINC01011	0	0
NCR3LG1	0	0
AP5B1	51.4705	21.8421
DKK1	0	0
DKK2	0	0
DKK3	0	0
DKK4	0	0
DKKL1	0	0
DLAT	11.6556	14.9738
DLC1	0	0
DLD	33.6828000674906	62.316
DLEC1	0	0
DLEU7	0	0
DLG1	9.244220653564	9.62814
DLG2	0	0
DLG3	5.04377	0
DLG4	26.8318	5.9666
DLG5	11.3739	0
DLGAP1	0	0
DLGAP2	0	0
DLGAP3	0	0
DLGAP4	61.8404	21.6312
DLGAP5	0	0
DLK1	0	0
DLK2	0	0
DLL1	0	4.90829
DLL3	11.6389	0
DLL4	0	0
DLST	94.05	55.4293
DLX1	0	0
DLX2	0	0
DLX3	0	0
DLX4	0	0
DLX5	0	0
DLX6	0	0
DMAP1	81.87665	32.0814141
DMBT1	0	0
DMBX1	0	5.6764008
DMC1	0	0
DMD	0	0
DMGDH	0	0
DMKN	0	0
DMP1	0	0
DMPK	0	0
DMRT1	0	0
DMRT2	0	0
DMRT3	0	0
DMRTA1	0	0
DMRTA2	0	0
DMRTB1	0	0
DMRTC1B	0	8.01593
DMRTC1	0	8.01593
DMRTC2	0	0
DMTF1	50.037	18.1029
DMWD	7.16422	20.0957
DMXL1	16.045846	6.06617223
DMXL2	56.37403	19.2049
DNA2	0	0
DNAH10	0	0
DNAH11	0	0
DNAH12	0	0
DNAH14	0	0
DNAH17	8.9354	0
DNAH1	24.5744	0
DNAH2	8.74119	0
DNAH3	0	0
DNAH5	0	0
DNAH6	0	0
DNAH7	0	0
DNAH8	0	0
DNAH9	0	0
DNAI1	0	0
DNAI2	0	0
DNAJA1	111.19500679302	142.71888
DNAJA2	38.1043	32.0032
DNAJA3	63.386279	6.01598
DNAJA4	11.9147	5.85092
DNAJB11	43.0206	9.76066
DNAJB12	15.7452	15.5052000986299
DNAJB13	0	8.76569
DNAJB14	21.90494	12.5809
DNAJB1	68.078	139.167
DNAJB2	46.1697	42.13991
DNAJB4	0	0
DNAJB5	0	0
DNAJB6	33.7322	77.4849
DNAJB7	0	0
DNAJB8	0	0
DNAJB9	9.94811	20.6855
DNAJC10	50.9209	43.9226
DNAJC11	36.5165	0
DNAJC12	0	0
DNAJC13	32.8779	14.18159
DNAJC14	32.3432	70.2197
DNAJC15	8.41528	29.7685
DNAJC16	0	8.2892
DNAJC17	0	21.2786
DNAJC18	0	0
DNAJC19	18.5804	37.2928
DNAJC1	0	24.0679
DNAJC21	0	14.42675
DNAJC22	0	0
DNAJC24	0	15.2911
DNAJC25-GNG10	0	0
DNAJC25	0	7.21555
DNAJC27	14.59550354152	0
DNAJC28	0	0
DNAJC2	50.76347151078	23.9598
DNAJC30	0	6.43727
DNAJC3	28.4913	14.8712
DNAJC4	97.1452	71.1508
DNAJC5B	0	0
DNAJC5G	0	0
DNAJC5	161.7489	66.8765
DNAJC6	0	2.82464
DNAJC7	88.089	60.615
DNAJC8	41.0512	121.406
DNAJC9	34.3077	80.7995
DNAL1	0	7.291580101899
DNAL4	0	0
DNALI1	0	0
DNASE1L1	15.4547	7.3445
DNASE1L2	19.1266014652	0
DNASE1L3	26.3493	0
DNASE1	14.9887	8.14677
DNASE2B	0	0
DNASE2	65.1538	40.83
DND1	15.187	0
DNER	0	0
DNHD1	30.50311	8.43738
DNLZ	0	47.4138759
DNM1L	42.0333	63.486844857966
DNM1	14.8405	0
DNM2	127.2395	85.07776
DNM3	0	0
DNMBP	3.53656	0
DNMT1	42.4687765	24.125048429
DNMT3A	32.1271	23.29067
DNMT3B	0	0
DNMT3L	0	0
DNPEP	103.4796	14.9667
DNTTIP1	19.361	38.7379
DNTTIP2	19.816	29.2181
DNTT	0	0
DOC2A	0	0
DOC2B	0	0
DOCK10	57.80474128276	36.143
DOCK11	46.0764	21.8482
DOCK1	0	0
DOCK2	176.2838368	128.4929
DOCK3	0	1.83746
DOCK4	0	0
DOCK5	26.636446	4.34436
DOCK6	0	0
DOCK7	0	0
DOCK8	88.5597	51.0462
DOCK9	21.6253	32.23982
DOHH	0	18.8985
DOK1	14.24566	9.700797
DOK2	258.6044	190.89652
DOK3	93.4403	53.0821
DOK4	0	6.04325
DOK5	0	0
DOK6	0	0
DOK7	0	0
DOLK	10.7507	0
DOLPP1	13.3614	8.36677
DXO	29.9422	0
DONSON	0	0
DOPEY1	3.79765	2.70147
DOPEY2	20.75099	2.19993
DOT1L	22.73846	10.43662
DPAGT1	33.2543	17.3038
DPCD	0	0
DPCR1	0	0
DPEP1	0	0
DPEP2	142.3870036776	77.1903
DPEP3	0	0
DPF1	0	0
DPF2	64.65860904913	40.686900176453
DPF3	0	0
DPH1	46.1381	0
DPH2	0	14.3792
DPH3	17.2651	0
DPH5	14.830600546834	10.7804
DPM1	31.0898	128.255
DPM2	15.7942	0
DPM3	92.8305	47.9352
DPP10	0	0
DPP3	32.89288	18.20767
DPP4	5.55138	26.27784
DPP6	0	0
DPP7	210.593	124.05173
DPP8	0	28.29203
DPP9	26.8486	17.8798
DPPA2	0	0
DPPA3	0	0
DPPA4	0	0
DPPA5	0	0
DPRX	0	0
DPT	0	0
DPY19L1	55.651	64.79844
DPY19L2P2	7.25349	0
DPY19L2P4	0	0
DPY19L2	15.4091	0
DPY19L3	22.269	7.35153
DPY19L4	7.3571	2.58615
DPY30	0	76.3255
DPYD	61.7359	40.0256
DPYSL2	35.3393	53.98571
DPYSL3	0	0
DPYSL4	0	0
DPYSL5	0	0
DPYS	0	0
DQX1	0	0
DR1	21.6823	42.3882
DRAM1	14.4313	5.05887
DRAM2	56.7026	92.4363
DRAP1	157.533	102.237
DRD1	0	0
DRD2	0	0
DRD3	0	0
DRD4	18.2132	0
DRD5	0	0
DRG1	16.9696	11.4273
DRG2	61.9123107	78.9776061
DRGX	0	0
DRP2	0	0
DSC1	5.444785046	3.8460635943
DSC2	4.37876068	12.428557088
DSC3	0	0
DSCAML1	0	0
DSCAM	0	0
DSCC1	0	0
DSCR10	0	0
DSCR3	36.5672	59.2255
DSCR4	0	0
RIPPLY3	0	0
DSCR8	0	0
DSCR9	0	0
DSEL	2.42125	0
DSE	25.84192	8.7314
DSG1	0	0
DSG2	0	0
DSG3	0	0
DSG4	0	0
DSN1	12.4163	8.51827
DSPP	0	0
DSP	0	2.02881
DSTN	16.9826	91.484
DSTYK	11.59980530985	4.2554300262297
DST	0	0
DTD1	18.1385	48.6277
DTHD1	25.4394	0
DTL	0	0
DTNA	0	0
DTNBP1	0	24.7273
DTNB	0	0
DTWD1	8.9352374	6.17627
DTWD2	4.58291	0
DTX1	0	19.7544
DTX2	0	15.4412
DTX3L	33.9	22.9604
DTX3	25.96971	0
DTX4	0	2.99709
DTYMK	27.0915	17.525
CTDNEP1	197.561	132.3068
DUOX1	0	0
DUOX2	0	0
DUOXA1	0	0
DUOXA2	0	0
DUPD1	0	0
DUS1L	285.6646	61.732
DUS2	39.0463	9.41589
DUS3L	107.248	41.4651
DUS4L	11.3931	0
DUSP10	17.8852	6.22434
DUSP11	29.6413	0
DUSP12	20.0634656	40.030609996
DUSP13	0	0
DUSP14	0	10.9651
DUSP15	0	0
DUSP16	22.1972	53.99954
DUSP18	0	0
DUSP19	0	3.09929264
DUSP1	201.142	252.244
DUSP21	0	0
DUSP22	63.95163	57.441
DUSP23	41.002300235	25.161662777
DUSP26	0	0
DUSP27	0	0
DUSP28	13.472	10.6299
DUSP2	57.8106	167.155
DUSP3	21.19794	28.06867
DUSP4	0	0
DUSP5	9.29199	12.9161
DUSP6	223.472	41.1757
DUSP7	14.3377	20.1083
DUSP8	5.11137	0
DUSP9	0	0
DUT	51.2475	38.179
DUXA	10.4534	6.47812
DVL1	32.5822205	5.56588
DVL2	38.437272	0
DVL3	23.424804793	29.018313335
COL6A4P1	0	0
DYDC1	0	0
DYDC2	0	0
DYM	66.725	0
DYNC1H1	42.0741	25.7422
DYNC1I1	0	0
DYNC1I2	53.477793001348	66.60658
DYNC1LI1	37.8679	13.1497
DYNC1LI2	43.13999	3.94374
DYNC2H1	0	0
DYNC2LI1	17.7454	0
DYNLL1	288.712	142.878
DYNLL2	64.2785	54.3044
DYNLRB1	41.0784	126.007
DYNLRB2	0	0
DYNLT1	120.768	74.3159
DYNLT3	0	14.7709
DYRK1A	106.1827	52.326160197659
DYRK1B	32.7952283815	6.763940468963
DYRK2	33.9515	24.1541
DYRK3	0	0
DYRK4	31.893057	60.534
PPP1R27	0	0
DYSF	48.3789038757544	27.475638351077
DYTN	0	0
DYX1C1	0	0
DZIP1L	0	0
DZIP1	0	0
DZIP3	6.4068	4.50718
E2F1	8.66245	0
E2F2	0	3.11015
E2F3	63.3509	3.22491
E2F4	33.9693	46.8207
E2F5	0	32.5973
E2F6	0	0
E2F7	0	0
E2F8	0	0
E4F1	27.3475	12.9475
EAF1	10.5218	11.1572
EAF2	0	19.2087
EAPP	18.3949	24.6321
EARS2	0	0
EBAG9	44.4321	44.7815
EBF1	0	0
EBF2	0	0
EBF3	0	0
EBF4	0	0
EBI3	0	0
EBNA1BP2	22.4228	23.9319
EBPL	0	68.9663
EBP	0	0
ECD	22.5538	15.5462
ECE1	76.0963	52.107300158947
ECE2	0	34.0428
ECEL1	0	0
ECH1	105.043	101.5305
ECHDC1	35.5146	65.1285
ECHDC2	101.8183442084	14.2089
ECHDC3	0	9.97368
ECHS1	74.8243	37.5261
ECM1	0	0
ECM2	0	0
ECSCR	0	0
ECSIT	49.29276	64.3855
ECT2L	0	0
ECT2	0	0
EDA2R	0	0
EDARADD	0	0
EDAR	5.44211	3.84421
EDA	0	3.066805
EDC3	18.3387	8.61153
EDC4	75.8015	12.3361
EDDM3A	0	0
EDDM3B	0	0
EDEM1	23.8809	36.6926
EDEM2	56.19802	37.16033253015
EDEM3	10.23315831	0
EDF1	492.072	487.415
EDIL3	0	0
EDN1	0	0
EDN2	0	0
EDN3	0	0
EDNRA	0	0
EDNRB	0	0
EEA1	14.0771	8.04484
EED	41.2554	0
EEF1A1	7911.7296	14983.1460489
EEF1A2	0	10.2616
EEF1B2	576.636	1341.908
EEF1D	745.7424	1044.6939
EEF1E1	95.8656	0
EEF1G	1810.89	3108.7
EEF2K	11.0429	0
EEF2	1483.69	2048.42
EEFSEC	0	29.5419
EEPD1	0	17.2478
EFCAB1	0	0
EFCAB2	6.24579	4.39691
EFCAB3	0	0
CRACR2B	0	0
CRACR2A	55.0755	23.6372
EFCAB5	0	0
EFCAB6	0	0
EFCAB7	0	0
EFEMP1	0	0
EFEMP2	0	0
MICU2	19.7236	26.2707
MICU3	0	0
EFHB	0	0
EFHC1	12.4115156634	0
EFHC2	0	0
EFHD1	0	0
EFHD2	505.925	283.486
EFNA1	0	0
EFNA2	0	0
EFNA3	0	0
EFNA4	0	0
EFNA5	0	0
EFNB1	13.0925	8.95714
EFNB2	0	0
EFNB3	0	0
EFR3A	12.8888	6.09933
EFR3B	4.3866	0
EFS	0	0
EFTUD1	14.79095	9.18519
EFTUD2	39.57480236651	39.8997
EGFL6	0	0
EGFL7	0	0
EGFL8	19.6884	0
EGFLAM	0	0
EGFR	0	0
EGF	0	0
EGLN1	14.54992	50.99193
EGLN2	55.313000385537	23.5367
EGLN3	0	9.46605
EGOT	0	0
EGR1	0	0
EGR2	0	0
EGR3	0	0
EGR4	0	0
EHBP1L1	188.961	65.4787
EHBP1	4.68185494684	0
EHD1	84.3854	113.4828
EHD2	0	0
EHD3	17.6509	12.5694
EHD4	16.1133	22.5142
EHF	0	0
EHHADH	0	4.26557
EHMT1	44.6001	40.4639
EHMT2	39.1615	25.1507
EI24	11.2368167466	46.85300241809
EID1	22.7393	227.187
EID2B	0	0
EID2	17.7741	23.8605
EID3	17.1938	0
EIF1AD	17.1769	5.73964
EIF1AX	46.464	65.7207
EIF1AY	0	0
EIF1B	102.349	16.6493
EIF1	631.4345	714.673
EIF2AK1	49.9653	62.3251
EIF2AK2	34.931608	11.7376
EIF2AK3	10.0531	3.55696
EIF2AK4	24.8886	17.5678
EIF2A	18.766544	28.701800280196
EIF2B1	54.1769487437	52.23150304894
EIF2B2	15.8736	0
EIF2B3	0	22.7733
EIF2B4	6.35526	19.181857094
EIF2B5	72.7478	47.7604
AGO1	9.231150789066	8.78255
AGO2	42.0057	0
AGO3	0	0
AGO4	23.9777	23.7777
EIF2S1	38.5308	23.3231
EIF2S2	54.48395	94.4308
EIF2S3	106.68	159.304
EIF3A	156.5466246	201.299361873
EIF3B	68.17248	173.9285
EIF3C	143.7286	165.36790259786
EIF3D	233.162	233.475
EIF3E	195.3313	488.76304
EIF3F	319.278	385.035
EIF3G	180.48	356.533
EIF3H	302.3247	626.892
EIF3IP1	0	0
EIF3I	112.53700907586	192.233000409431
EIF3J	39.35	54.2262
EIF3K	150.786	327.729
EIF3L	294.52000355802	587.551
EIF3M	142.12	215.837
EIF4A1	573.016	356.489
EIF4A2	336.01601891	292.2978
EIF4A3	86.265	19.5691
EIF4B	241.38217	501.732
EIF4E1B	0	0
EIF4E2	26.5421	58.6562
EIF4E3	14.9241	21.20700499036
EIF4EBP1	93.1384	39.5576
EIF4EBP2	35.9494	59.8751
EIF4EBP3	0	1.942
EIF4ENIF1	26.8177	26.8289
EIF4E	6.78408	4.76499
EIF4G1	208.0516	88.7407
EIF4G2	260.336	240.2964504
EIF4G3	17.6444	8.95213
EIF4H	163.685	203.486
EIF5A2	9.32348	0
EIF5AL1	0	0
EIF5A	336.2637	301.3255
EIF5B	29.1653	58.5164
EIF5	31.8982233531	25.0843
EIF6	70.7089	108.21
ELAC1	0	0
ELAC2	72.46288	24.1406
ELANE	0	0
ELAVL1	14.967	18.6364
ELAVL2	0	0
ELAVL3	0	0
ELAVL4	0	0
ELF1	117.953	74.25753483
ELF2	68.5203	12.5512
ELF3	7.445	0
ELF4	44.8046016828	23.7209
ELF5	0	0
ELFN1	0	0
ELFN2	0	0
ELK1	41.5079	24.12847
ELK3	22.059	38.0519
ELK4	88.4670449757	0
ELL2	0	5.33624
ELL3	0	0
ELL	5.8293500576378	8.22197
ELMO1	21.375	24.9862
ELMO2	88.359375241	5.60882
ELMO3	0	0
ELMOD1	0	0
ELMOD2	0	0
ELMOD3	11.6573	18.8195
ELN	0	0
ELOF1	50.6472	17.1711
ELOVL1	52.853512	70.9988
ELOVL2	0	0
ELOVL3	38.0231	0
ELOVL4	0	0
ELOVL5	47.0712	57.3142
ELOVL6	0	0
ELOVL7	0	0
ELP2	41.3742	21.4722
ELP3	15.422403640003	15.9749
ELP4	0	21.1055
ELSPBP1	0	0
ADGRL4	0	0
EMB	103.458	130.9617
EMCN	0	0
EMD	55.6943	62.1064
EME1	0	0
EME2	20.1917	0
EMG1	99.7166	32.0637
EMID1	0	0
COL26A1	0	0
EMILIN1	0	8.41962
EMILIN2	68.7385	68.7036
EMILIN3	0	0
EML1	0	0
EML2	76.6474972	34.2087
EML3	143.0914	44.4497
EML4	30.8716	21.73485
EML5	9.74217	0
EML6	0	0
EMP1	9.06355	0
EMP2	0	0
EMP3	355.998	615.434
ADGRE1	22.72940234347	6.29291
ADGRE2	45.4316	57.1417
ADGRE3	0	25.623
ADGRE4P	0	0
EMX1	0	0
EMX2OS	0	0
EMX2	0	0
EN1	0	0
EN2	0	0
ENAH	0	1.52211
ENAM	0	0
ENC1	12.6771	0
ENDOD1	9.82104	6.95311
ENDOG	32.749	24.0922
ENDOU	0	0
ENGASE	62.187	8.83347
ENG	37.9604	31.8862
ENHO	0	0
ENKUR	0	0
ENO1	679.035789	762.217
ENO2	41.267334	17.2747
ENO3	0	0
ENOPH1	14.1748	44.9672
ENOSF1	50.8768	0
ENOX1	0	0
ENOX2	13.5267	4.75083
ENPEP	0	0
ENPP1	0	2.18409
ENPP2	0	0
ENPP3	7.32798	10.7297
ENPP4	9.75821	3.45478
ENPP5	0	0
ENPP6	0	0
ENPP7	0	0
ENSA	88.181454268	178.37976007386
ENTHD1	0	0
ENTPD1	21.11274986017	11.0104134367827
ENTPD2	0	0
ENTPD3	0	0
